id,cap,url,background
397133,A man is in a kitchen making pizzas.,http://images.cocodataset.org/val2017/000000397133.jpg,"['kitchen', 'pizza']"
397133,Man in apron standing on front of oven with pans and bakeware,http://images.cocodataset.org/val2017/000000397133.jpg,"['bakeware', 'pan', 'apron', 'front', 'standing']"
397133,A baker is working in the kitchen rolling dough.,http://images.cocodataset.org/val2017/000000397133.jpg,"['dough', 'kitchen', 'baker']"
397133,A person standing by a stove in a kitchen.,http://images.cocodataset.org/val2017/000000397133.jpg,"['kitchen', 'stove']"
397133,A table with pies being made and a person standing near a wall with pots and pans hanging on the wall.,http://images.cocodataset.org/val2017/000000397133.jpg,"['pan', 'pie', 'table', 'wall', 'pot']"
37777,The dining table near the kitchen has a bowl of fruit on it.,http://images.cocodataset.org/val2017/000000037777.jpg,"['bowl', 'kitchen', 'table', 'fruit']"
37777,A small kitchen has various appliances and a table.,http://images.cocodataset.org/val2017/000000037777.jpg,"['kitchen', 'table', 'appliance']"
37777,The kitchen is clean and ready for us to see.,http://images.cocodataset.org/val2017/000000037777.jpg,['kitchen']
37777,A kitchen and dining area decorated in white.,http://images.cocodataset.org/val2017/000000037777.jpg,"['kitchen', 'area']"
37777,A kitchen that has a bowl of fruit on the table.,http://images.cocodataset.org/val2017/000000037777.jpg,"['bowl', 'kitchen', 'table', 'fruit']"
252219,a person with a shopping cart on a city street ,http://images.cocodataset.org/val2017/000000252219.jpg,"['cart', 'street', 'city']"
252219,City dwellers walk by as a homeless man begs for cash.,http://images.cocodataset.org/val2017/000000252219.jpg,"['homeless', 'cash', 'city']"
252219,People walking past a homeless man begging on a city street,http://images.cocodataset.org/val2017/000000252219.jpg,"['homeless', 'street', 'city']"
252219,a homeless man holding a cup and standing next to a shopping cart on a street,http://images.cocodataset.org/val2017/000000252219.jpg,"['cart', 'street', 'shopping']"
252219,People are walking on the street by a homeless person.,http://images.cocodataset.org/val2017/000000252219.jpg,"['homeless', 'street']"
87038,A person on a skateboard and bike at a skate park.,http://images.cocodataset.org/val2017/000000087038.jpg,['park']
87038,A man on a skateboard performs a trick at the skate park,http://images.cocodataset.org/val2017/000000087038.jpg,"['park', 'trick']"
87038,A skateboarder jumps into the air as he performs a skateboard trick.,http://images.cocodataset.org/val2017/000000087038.jpg,"['jump', 'air', 'skateboarder', 'trick']"
87038,Athletes performing tricks on a BMX bicycle and a skateboard.,http://images.cocodataset.org/val2017/000000087038.jpg,"['bmx', 'athlete', 'trick']"
87038,a man falls off his skateboard in a skate park.,http://images.cocodataset.org/val2017/000000087038.jpg,['park']
174482,a blue bike parked on a side walk ,http://images.cocodataset.org/val2017/000000174482.jpg,"['side', 'walk']"
174482,A bicycle is chained to a fixture on a city street,http://images.cocodataset.org/val2017/000000174482.jpg,"['street', 'city', 'fixture']"
174482,A blue bicycle sits on a sidewalk near a street.,http://images.cocodataset.org/val2017/000000174482.jpg,"['sits', 'street', 'sidewalk']"
174482,A bicycle is locked up to a post,http://images.cocodataset.org/val2017/000000174482.jpg,['post']
174482,a bike sits parked next to a street ,http://images.cocodataset.org/val2017/000000174482.jpg,['street']
403385,A bathroom that has a broken wall in the shower.,http://images.cocodataset.org/val2017/000000403385.jpg,"['wall', 'shower']"
403385,A bathroom looks clean but is missing tile at the shower stall.,http://images.cocodataset.org/val2017/000000403385.jpg,['stall']
403385,A view of a bathroom that needs to be fixed up.,http://images.cocodataset.org/val2017/000000403385.jpg,['view']
403385,a shower toilet and sink in a basement bathroom,http://images.cocodataset.org/val2017/000000403385.jpg,['basement']
403385,A very big whit rest room with a shabby looking shower.,http://images.cocodataset.org/val2017/000000403385.jpg,"['shabby', 'rest', 'whit']"
6818,a couple of buckets in a white room,http://images.cocodataset.org/val2017/000000006818.jpg,"['couple', 'bucket']"
6818,A bathroom with no toilets and a red and green bucket. ,http://images.cocodataset.org/val2017/000000006818.jpg,['bucket']
6818,"a shower room with two buckets, tolet paper holder and soap.",http://images.cocodataset.org/val2017/000000006818.jpg,"['holder', 'paper', 'shower', 'bucket', 'soap']"
6818,A standing toilet in a bathroom next to a window.,http://images.cocodataset.org/val2017/000000006818.jpg,['window']
6818,This picture looks like a janitors closet with buckets on the floor.,http://images.cocodataset.org/val2017/000000006818.jpg,"['floor', 'picture', 'bucket', 'janitor']"
480985,The shiny motorcycle has been put on display.,http://images.cocodataset.org/val2017/000000480985.jpg,['display']
480985,The new motorcycle on display is very shiny.,http://images.cocodataset.org/val2017/000000480985.jpg,['display']
480985,A motorcycle is parked inside of a building.,http://images.cocodataset.org/val2017/000000480985.jpg,['building']
480985,A brand new motorcycle on display at a show.,http://images.cocodataset.org/val2017/000000480985.jpg,"['display', 'brand', 'show']"
480985,The front end of a red motorcycle that is on display.,http://images.cocodataset.org/val2017/000000480985.jpg,"['display', 'end']"
458054,A row of white toilets sitting on top of a dirt ground.,http://images.cocodataset.org/val2017/000000458054.jpg,"['dirt', 'top', 'row', 'ground']"
458054,A bunch of dirty looking white toilets in a row outside.,http://images.cocodataset.org/val2017/000000458054.jpg,"['row', 'bunch', 'dirty']"
458054,There is a row of used and broken toilets in a field.,http://images.cocodataset.org/val2017/000000458054.jpg,"['field', 'row']"
458054,A row of toilets with broken seat tops on the ground.,http://images.cocodataset.org/val2017/000000458054.jpg,"['top', 'row', 'seat', 'ground']"
